,age,gender,country,education,job_title,years_coding,salary,Data_Science_Course,Languages
23,25-29,Male,India,Master’s degree,Business Analyst,< 1 years,$0-999,,Python;
24,40-44,Male,Russia,Master’s degree,Software Engineer,1-2 years,"10,000-14,999",Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;C;Java;Javascript;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy
25,25-29,Male,Greece,Master’s degree,Research Scientist,5-10 years,"15,000-19,999",University Courses (resulting in a university degree),Python;Java;Bash;University Courses (resulting in a university degree)
26,30-34,Male,Greece,Master’s degree,Software Engineer,1-2 years,"20,000-24,999",Udacity;Coursera;edX;University Courses (resulting in a university degree),Python;Java;Javascript;Udacity;Coursera;edX;University Courses (resulting in a university degree)
27,35-39,Male,India,Master’s degree,Software Engineer,10-20 years,"100,000-124,999",Coursera,Python;Javascript;Coursera
29,30-34,Female,Ukraine,Doctoral degree,Research Scientist,3-5 years,$0-999,Coursera,R;Coursera
30,25-29,Female,Pakistan,Master’s degree,Research Scientist,1-2 years,$0-999,Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);University Courses (resulting in a university degree),Python;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);University Courses (resulting in a university degree)
31,30-34,Male,Japan,Master’s degree,Software Engineer,1-2 years,"90,000-99,999",Kaggle Courses (i.e. Kaggle Learn),Python;R;SQL;Kaggle Courses (i.e. Kaggle Learn)
32,30-34,Male,Japan,Master’s degree,Data Scientist,5-10 years,"7,500-9,999",Udacity;Coursera;edX;Udemy,Python;Bash;Udacity;Coursera;edX;Udemy
33,25-29,Female,Other,Master’s degree,Data Analyst,1-2 years,$0-999,Coursera,Python;R;Bash;Other;Coursera
34,30-34,Female,United States of America,Master’s degree,Research Scientist,5-10 years,"150,000-199,999",Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);LinkedIn Learning,Python;R;SQL;Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);LinkedIn Learning
35,22-24,Male,Brazil,Bachelor’s degree,Data Scientist,1-2 years,"10,000-14,999",Udacity;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;Udemy,Python;R;Udacity;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;Udemy
36,25-29,Male,India,Bachelor’s degree,Other,3-5 years,"7,500-9,999",Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;R;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy
37,35-39,Male,South Korea,Master’s degree,Data Analyst,1-2 years,"10,000-14,999",Coursera;DataCamp;Udemy;University Courses (resulting in a university degree),Python;MATLAB;Coursera;DataCamp;Udemy;University Courses (resulting in a university degree)
38,25-29,Male,Brazil,Master’s degree,Data Analyst,3-5 years,"25,000-29,999",Udacity;Udemy,R;SQL;Javascript;Udacity;Udemy
39,35-39,Male,France,Master’s degree,Data Engineer,< 1 years,"40,000-49,999",Coursera;Kaggle Courses (i.e. Kaggle Learn),SQL;Coursera;Kaggle Courses (i.e. Kaggle Learn)
40,30-34,Female,United States of America,Doctoral degree,Product/Project Manager,10-20 years,"90,000-99,999",Coursera;University Courses (resulting in a university degree),Python;SQL;Coursera;University Courses (resulting in a university degree)
41,25-29,Male,India,Bachelor’s degree,Software Engineer,1-2 years,"5,000-7,499",Coursera;edX;DataCamp;Udemy;University Courses (resulting in a university degree),Python;SQL;Javascript;Coursera;edX;DataCamp;Udemy;University Courses (resulting in a university degree)
44,35-39,Male,Belarus,Master’s degree,Software Engineer,1-2 years,"3,000-3,999",Coursera,Python;Other;Coursera
45,25-29,Male,India,Bachelor’s degree,DBA/Database Engineer,3-5 years,"2,000-2,999",Coursera;edX;DataQuest;Kaggle Courses (i.e. Kaggle Learn),SQL;Coursera;edX;DataQuest;Kaggle Courses (i.e. Kaggle Learn)
46,22-24,Male,India,Bachelor’s degree,Software Engineer,1-2 years,"10,000-14,999",Udacity;Coursera;edX;Fast.ai;Udemy,Python;SQL;Javascript;Other;Udacity;Coursera;edX;Fast.ai;Udemy
47,25-29,Male,India,Master’s degree,Data Engineer,3-5 years,"10,000-14,999",,Python;R;SQL;
48,25-29,Male,Nigeria,Master’s degree,Data Analyst,< 1 years,$0-999,Udemy;LinkedIn Learning,None;Udemy;LinkedIn Learning
49,35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,5-10 years,"40,000-49,999",Coursera;Fast.ai,Python;SQL;Java;Other;Coursera;Fast.ai
50,30-34,Male,Sweden,Master’s degree,Data Analyst,1-2 years,"40,000-49,999",Coursera;edX;University Courses (resulting in a university degree),Python;R;SQL;Coursera;edX;University Courses (resulting in a university degree)
51,35-39,Male,United States of America,Bachelor’s degree,Data Scientist,5-10 years,"150,000-199,999",Udacity;Coursera;edX,Python;SQL;Udacity;Coursera;edX
52,25-29,Male,India,Bachelor’s degree,Business Analyst,3-5 years,"3,000-3,999",Coursera;University Courses (resulting in a university degree),Python;R;SQL;Coursera;University Courses (resulting in a university degree)
54,30-34,Male,Germany,Master’s degree,Data Engineer,1-2 years,"80,000-89,999",Udacity;Coursera;edX;Fast.ai;University Courses (resulting in a university degree),Python;SQL;Java;Javascript;TypeScript;Udacity;Coursera;edX;Fast.ai;University Courses (resulting in a university degree)
55,25-29,Male,Germany,Bachelor’s degree,Data Scientist,3-5 years,"60,000-69,999",DataCamp,Python;SQL;DataCamp
56,25-29,Male,India,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0-999,,Python;R;SQL;
57,45-49,Female,India,Doctoral degree,Data Analyst,3-5 years,"2,000-2,999",University Courses (resulting in a university degree),R;SQL;University Courses (resulting in a university degree)
58,40-44,Male,India,Master’s degree,Other,< 1 years,"1,000-1,999",None,Python;None
59,30-34,Male,United States of America,Master’s degree,Other,3-5 years,"150,000-199,999",Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy;LinkedIn Learning,Python;R;Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy;LinkedIn Learning
61,35-39,Male,Mexico,Master’s degree,Data Scientist,1-2 years,"40,000-49,999",Coursera;LinkedIn Learning,Python;Coursera;LinkedIn Learning
62,30-34,Male,United States of America,Bachelor’s degree,Data Analyst,3-5 years,"100,000-124,999",Coursera;University Courses (resulting in a university degree),Python;SQL;Bash;Coursera;University Courses (resulting in a university degree)
64,22-24,Male,France,Master’s degree,Data Scientist,1-2 years,"40,000-49,999",Coursera;edX,Python;SQL;Other;Coursera;edX
65,35-39,Prefer to self-describe,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,1-2 years,"40,000-49,999",Coursera;edX;DataCamp;Udemy,R;Bash;Coursera;edX;DataCamp;Udemy
66,40-44,Male,Other,Master’s degree,Other,3-5 years,"15,000-19,999",edX;DataCamp;DataQuest,Python;R;edX;DataCamp;DataQuest
67,25-29,Prefer not to say,United States of America,Master’s degree,Data Scientist,5-10 years,"200,000-249,999",Udacity;Coursera;University Courses (resulting in a university degree),Python;Bash;Udacity;Coursera;University Courses (resulting in a university degree)
68,18-21,Male,Russia,Bachelor’s degree,Data Scientist,1-2 years,"10,000-14,999",Coursera;DataCamp,Python;C++;Coursera;DataCamp
69,22-24,Male,India,Bachelor’s degree,Software Engineer,1-2 years,"15,000-19,999",Coursera;University Courses (resulting in a university degree),SQL;Java;Javascript;Coursera;University Courses (resulting in a university degree)
71,30-34,Male,India,Bachelor’s degree,Data Scientist,3-5 years,"20,000-24,999",Coursera;Udemy;University Courses (resulting in a university degree),Python;R;SQL;Bash;Coursera;Udemy;University Courses (resulting in a university degree)
72,22-24,Male,Australia,Master’s degree,Software Engineer,1-2 years,"50,000-59,999",University Courses (resulting in a university degree),Python;C++;TypeScript;University Courses (resulting in a university degree)
75,30-34,Female,India,Master’s degree,Other,< 1 years,$0-999,,Python;SQL;C;C++;Java;Javascript;
77,35-39,Male,Japan,Doctoral degree,Research Scientist,1-2 years,"1,000-1,999",Coursera;DataCamp,Python;R;Coursera;DataCamp
78,35-39,Male,Canada,Doctoral degree,Research Scientist,10-20 years,"125,000-149,999",Fast.ai,Python;R;SQL;C++;Fast.ai
81,30-34,Male,Portugal,Doctoral degree,Data Scientist,5-10 years,"15,000-19,999",Coursera;Udemy,R;SQL;Coursera;Udemy
82,25-29,Male,United States of America,Master’s degree,Data Engineer,1-2 years,"70,000-79,999",Udacity;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy;University Courses (resulting in a university degree),Python;SQL;Udacity;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy;University Courses (resulting in a university degree)
83,25-29,Male,Russia,Bachelor’s degree,Software Engineer,1-2 years,"1,000-1,999",Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy
85,30-34,Male,Canada,Master’s degree,Business Analyst,3-5 years,"70,000-79,999",Coursera;edX;DataCamp,R;Coursera;edX;DataCamp
86,30-34,Female,United States of America,Master’s degree,Data Engineer,3-5 years,"125,000-149,999",Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;University Courses (resulting in a university degree),Python;SQL;Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;University Courses (resulting in a university degree)
87,22-24,Male,France,Master’s degree,Data Scientist,1-2 years,"40,000-49,999",University Courses (resulting in a university degree),Python;SQL;Bash;University Courses (resulting in a university degree)
88,22-24,Male,United States of America,Master’s degree,Data Scientist,< 1 years,"125,000-149,999",Coursera;edX;DataCamp;Udemy;University Courses (resulting in a university degree),Python;R;SQL;Java;Coursera;edX;DataCamp;Udemy;University Courses (resulting in a university degree)
89,30-34,Male,Canada,Doctoral degree,Research Scientist,5-10 years,"60,000-69,999",Coursera;edX;University Courses (resulting in a university degree),Python;C++;MATLAB;Coursera;edX;University Courses (resulting in a university degree)
90,25-29,Male,Poland,Master’s degree,Research Scientist,5-10 years,"40,000-49,999",Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy
91,22-24,Male,Indonesia,Master’s degree,Data Engineer,1-2 years,$0-999,DataCamp,Python;Other;DataCamp
92,35-39,Male,Netherlands,I prefer not to answer,Software Engineer,1-2 years,"40,000-49,999",Kaggle Courses (i.e. Kaggle Learn),Python;SQL;Other;Kaggle Courses (i.e. Kaggle Learn)
93,30-34,Male,Italy,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,"40,000-49,999",Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;Udemy,Python;SQL;Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Fast.ai;Udemy
94,45-49,Male,France,Master’s degree,Software Engineer,< 1 years,"90,000-99,999",Kaggle Courses (i.e. Kaggle Learn),Python;SQL;C;C++;Java;Javascript;TypeScript;Bash;Kaggle Courses (i.e. Kaggle Learn)
95,22-24,Male,India,Bachelor’s degree,Software Engineer,3-5 years,"4,000-4,999",Coursera;Kaggle Courses (i.e. Kaggle Learn),Python;SQL;Java;Bash;Coursera;Kaggle Courses (i.e. Kaggle Learn)
96,22-24,Male,Brazil,Bachelor’s degree,Business Analyst,1-2 years,"10,000-14,999",edX;Udemy;University Courses (resulting in a university degree),Python;SQL;Javascript;edX;Udemy;University Courses (resulting in a university degree)
97,30-34,Male,United States of America,Master’s degree,Business Analyst,1-2 years,"50,000-59,999",Coursera;edX;Udemy;University Courses (resulting in a university degree),Python;Javascript;Coursera;edX;Udemy;University Courses (resulting in a university degree)
98,30-34,Male,India,Bachelor’s degree,Business Analyst,1-2 years,"10,000-14,999",Udacity;Coursera;edX;DataCamp;Udemy,Python;R;SQL;Udacity;Coursera;edX;DataCamp;Udemy
99,25-29,Male,Czech Republic,Master’s degree,Research Scientist,1-2 years,"30,000-39,999",Coursera,Python;Bash;Coursera
100,35-39,Prefer not to say,United States of America,Master’s degree,Data Scientist,3-5 years,"200,000-249,999",edX;University Courses (resulting in a university degree),Python;R;SQL;Bash;edX;University Courses (resulting in a university degree)
102,25-29,Female,Other,Master’s degree,Software Engineer,< 1 years,$0-999,Udacity;Coursera;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),Python;R;SQL;Java;Javascript;Bash;Udacity;Coursera;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
103,22-24,Male,Pakistan,Bachelor’s degree,Software Engineer,< 1 years,"4,000-4,999",Kaggle Courses (i.e. Kaggle Learn),Python;Kaggle Courses (i.e. Kaggle Learn)
104,50-54,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,10-20 years,"60,000-69,999",DataCamp;Udemy;University Courses (resulting in a university degree),Python;R;SQL;DataCamp;Udemy;University Courses (resulting in a university degree)
105,30-34,Male,United States of America,Master’s degree,Data Scientist,3-5 years,"125,000-149,999",Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy;University Courses (resulting in a university degree),Python;SQL;Bash;Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy;University Courses (resulting in a university degree)
108,30-34,Female,United States of America,Master’s degree,Data Engineer,10-20 years,"100,000-124,999",None,Python;SQL;None
110,35-39,Male,Sweden,Doctoral degree,Data Scientist,5-10 years,"70,000-79,999",Coursera;University Courses (resulting in a university degree),Python;Coursera;University Courses (resulting in a university degree)
111,25-29,Male,United States of America,Master’s degree,Data Analyst,3-5 years,"90,000-99,999",Coursera;edX;DataCamp;DataQuest;Kaggle Courses (i.e. Kaggle Learn);LinkedIn Learning;University Courses (resulting in a university degree),Python;R;SQL;Coursera;edX;DataCamp;DataQuest;Kaggle Courses (i.e. Kaggle Learn);LinkedIn Learning;University Courses (resulting in a university degree)
113,25-29,Male,India,Master’s degree,Data Scientist,3-5 years,"25,000-29,999",Coursera;University Courses (resulting in a university degree),Python;Coursera;University Courses (resulting in a university degree)
114,45-49,Male,India,I prefer not to answer,Other,1-2 years,"3,000-3,999",University Courses (resulting in a university degree),Python;R;University Courses (resulting in a university degree)
115,25-29,Male,Spain,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",Coursera;University Courses (resulting in a university degree),Python;SQL;Java;Bash;Coursera;University Courses (resulting in a university degree)
118,35-39,Male,Russia,Professional degree,Data Scientist,10-20 years,"40,000-49,999",Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;Javascript;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy
119,22-24,Male,United States of America,Bachelor’s degree,Data Analyst,I have never written code,"60,000-69,999",Coursera,Coursera
120,25-29,Prefer not to say,Other,Doctoral degree,Software Engineer,1-2 years,$0-999,Coursera;Kaggle Courses (i.e. Kaggle Learn),Python;Java;Javascript;Coursera;Kaggle Courses (i.e. Kaggle Learn)
121,40-44,Male,India,Master’s degree,Data Engineer,5-10 years,"> $500,000",Coursera;edX,Python;R;SQL;Java;Coursera;edX
122,25-29,Male,United States of America,Master’s degree,Data Scientist,3-5 years,"80,000-89,999",Coursera;University Courses (resulting in a university degree),Python;SQL;Coursera;University Courses (resulting in a university degree)
124,30-34,Male,United States of America,Doctoral degree,Data Scientist,5-10 years,"150,000-199,999",None,Python;R;None
125,22-24,Male,Pakistan,Master’s degree,Data Scientist,1-2 years,"20,000-24,999",Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);University Courses (resulting in a university degree),Python;Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);University Courses (resulting in a university degree)
126,25-29,Male,Chile,Master’s degree,Data Scientist,3-5 years,"25,000-29,999",Coursera;DataCamp;DataQuest;University Courses (resulting in a university degree),Python;Coursera;DataCamp;DataQuest;University Courses (resulting in a university degree)
130,22-24,Male,France,Master’s degree,Software Engineer,1-2 years,"30,000-39,999",Coursera,Python;TypeScript;Other;Coursera
131,18-21,Female,India,Bachelor’s degree,Software Engineer,1-2 years,"15,000-19,999",Udacity,Python;SQL;C++;Javascript;Udacity
133,45-49,Male,Hong Kong (S.A.R.),Professional degree,Data Analyst,3-5 years,"300,000-500,000",Coursera;edX;DataCamp,Python;R;Coursera;edX;DataCamp
134,30-34,Female,Mexico,Master’s degree,Software Engineer,1-2 years,"2,000-2,999",Kaggle Courses (i.e. Kaggle Learn);Udemy;LinkedIn Learning;University Courses (resulting in a university degree),Python;R;C++;Java;Kaggle Courses (i.e. Kaggle Learn);Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
135,25-29,Male,India,Master’s degree,Software Engineer,3-5 years,"25,000-29,999",Coursera;University Courses (resulting in a university degree),Python;R;Java;Javascript;Bash;Coursera;University Courses (resulting in a university degree)
136,50-54,Male,Spain,Doctoral degree,Research Scientist,20+ years,"50,000-59,999",,Python;Bash;
137,18-21,Female,India,Master’s degree,Data Scientist,3-5 years,"4,000-4,999",Udacity;Coursera;University Courses (resulting in a university degree),Python;C++;Udacity;Coursera;University Courses (resulting in a university degree)
139,25-29,Male,South Africa,Bachelor’s degree,Data Scientist,1-2 years,"25,000-29,999",None,Python;R;SQL;Bash;None
141,30-34,Male,France,Doctoral degree,Research Scientist,I have never written code,"20,000-24,999",Coursera;edX;DataCamp,Coursera;edX;DataCamp
142,40-44,Male,India,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",LinkedIn Learning,Python;R;SQL;LinkedIn Learning
143,60-69,Male,United States of America,Master’s degree,Software Engineer,20+ years,"100,000-124,999",Coursera,Python;SQL;Javascript;TypeScript;Other;Coursera
144,45-49,Female,Argentina,Professional degree,Data Analyst,5-10 years,"15,000-19,999",None,SQL;None
145,25-29,Male,Turkey,Doctoral degree,Data Scientist,5-10 years,"1,000-1,999",Coursera;edX;DataCamp;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),Python;SQL;Other;Coursera;edX;DataCamp;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
146,55-59,Male,United States of America,Bachelor’s degree,Software Engineer,10-20 years,"150,000-199,999",None,C;C++;None
147,30-34,Male,Ireland,Master’s degree,Data Scientist,1-2 years,"30,000-39,999",Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy;University Courses (resulting in a university degree),Python;R;Bash;MATLAB;Udacity;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy;University Courses (resulting in a university degree)
150,55-59,Male,France,Master’s degree,Research Scientist,3-5 years,"125,000-149,999",,Python;R;C;C++;Bash;MATLAB;
152,25-29,Male,India,Master’s degree,Business Analyst,3-5 years,$0-999,,Python;R;
153,35-39,Male,Portugal,Master’s degree,Software Engineer,5-10 years,"20,000-24,999",Coursera;Kaggle Courses (i.e. Kaggle Learn),Python;SQL;Javascript;TypeScript;Coursera;Kaggle Courses (i.e. Kaggle Learn)
154,40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,3-5 years,"30,000-39,999",Coursera,Python;SQL;Java;Javascript;Other;Coursera
155,22-24,Male,India,Master’s degree,Data Scientist,1-2 years,"10,000-14,999",edX;Fast.ai;University Courses (resulting in a university degree),Python;SQL;edX;Fast.ai;University Courses (resulting in a university degree)
156,45-49,Female,United States of America,Master’s degree,Statistician,10-20 years,"200,000-249,999",Coursera;DataCamp;Udemy,R;SQL;Coursera;DataCamp;Udemy
157,22-24,Male,Pakistan,Bachelor’s degree,Data Scientist,3-5 years,"7,500-9,999",Coursera;University Courses (resulting in a university degree),Python;SQL;C++;Coursera;University Courses (resulting in a university degree)
158,30-34,Male,United States of America,I prefer not to answer,Data Analyst,3-5 years,"50,000-59,999",Coursera;DataCamp;DataQuest;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;Coursera;DataCamp;DataQuest;Kaggle Courses (i.e. Kaggle Learn);Udemy
159,40-44,Male,Brazil,Professional degree,Statistician,5-10 years,"30,000-39,999",edX;Udemy,R;SQL;edX;Udemy
160,35-39,Male,Israel,Bachelor’s degree,Other,10-20 years,"125,000-149,999",None,Other;None
161,35-39,Male,Russia,Bachelor’s degree,Software Engineer,< 1 years,"30,000-39,999",Coursera;Kaggle Courses (i.e. Kaggle Learn),SQL;Java;Coursera;Kaggle Courses (i.e. Kaggle Learn)
162,30-34,Male,Nigeria,Bachelor’s degree,Research Scientist,< 1 years,"5,000-7,499",Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;Kaggle Courses (i.e. Kaggle Learn);Udemy
165,18-21,Male,India,Bachelor’s degree,Data Scientist,3-5 years,"10,000-14,999",Coursera;University Courses (resulting in a university degree),Python;Coursera;University Courses (resulting in a university degree)
166,25-29,Male,Japan,Bachelor’s degree,Software Engineer,1-2 years,"3,000-3,999",None,Python;Java;None
167,35-39,Male,United States of America,Master’s degree,Data Scientist,5-10 years,"125,000-149,999",,Python;Other;
168,35-39,Male,Other,Master’s degree,Data Scientist,5-10 years,"125,000-149,999",Coursera;edX,Python;Coursera;edX
169,35-39,Male,Italy,Doctoral degree,Other,10-20 years,"125,000-149,999",None,Python;R;None
170,30-34,Female,Italy,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn),Python;R;Coursera;DataCamp;Kaggle Courses (i.e. Kaggle Learn)
173,25-29,Male,France,Master’s degree,Data Scientist,3-5 years,"60,000-69,999",Coursera,R;SQL;Coursera
175,30-34,Male,Ukraine,Bachelor’s degree,Software Engineer,3-5 years,"30,000-39,999",Coursera,Python;C++;Coursera
177,25-29,Male,India,Master’s degree,Data Scientist,1-2 years,"1,000-1,999",University Courses (resulting in a university degree),Python;R;SQL;C++;Java;University Courses (resulting in a university degree)
178,25-29,Male,Japan,Master’s degree,Data Scientist,1-2 years,"5,000-7,499",Udacity;Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;Udacity;Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);Udemy
180,35-39,Male,Russia,Professional degree,Product/Project Manager,3-5 years,"40,000-49,999",Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;Java;Javascript;Bash;Coursera;edX;Kaggle Courses (i.e. Kaggle Learn);Udemy
181,35-39,Female,Taiwan,Master’s degree,Product/Project Manager,< 1 years,$0-999,Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;Coursera;edX;DataCamp;Kaggle Courses (i.e. Kaggle Learn);Udemy
182,22-24,Female,United States of America,Bachelor’s degree,Data Scientist,3-5 years,"70,000-79,999",Coursera;DataCamp,Python;R;SQL;Coursera;DataCamp
183,70+,Male,Other,Doctoral degree,Research Scientist,3-5 years,$0-999,None,C++;None
184,22-24,Female,India,I prefer not to answer,Software Engineer,< 1 years,"1,000-1,999",University Courses (resulting in a university degree),Python;R;University Courses (resulting in a university degree)
185,45-49,Male,Other,Doctoral degree,Research Scientist,20+ years,"90,000-99,999",None,Python;C++;Bash;None
186,30-34,Male,Egypt,Master’s degree,Data Scientist,1-2 years,$0-999,Coursera,Python;Coursera
187,25-29,Male,Brazil,Master’s degree,Software Engineer,3-5 years,"20,000-24,999",Coursera,Python;SQL;Javascript;Coursera
188,22-24,Male,Brazil,Bachelor’s degree,Data Scientist,1-2 years,"20,000-24,999",Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy,Python;SQL;Udacity;Coursera;Kaggle Courses (i.e. Kaggle Learn);Udemy
189,30-34,Male,Russia,Doctoral degree,Data Scientist,5-10 years,"70,000-79,999",University Courses (resulting in a university degree),Python;C++;University Courses (resulting in a university degree)
190,40-44,Male,United States of America,Master’s degree,Data Scientist,20+ years,"125,000-149,999",Coursera;DataCamp;University Courses (resulting in a university degree),Python;R;SQL;Coursera;DataCamp;University Courses (resulting in a university degree)
191,35-39,Male,India,Master’s degree,Software Engineer,I have never written code,"15,000-19,999",Udemy,Udemy
192,50-54,Female,Brazil,Doctoral degree,Product/Project Manager,20+ years,"5,000-7,499",University Courses (resulting in a university degree),Python;R;SQL;C++;Java;Javascript;University Courses (resulting in a university degree)
194,25-29,Female,Ukraine,Bachelor’s degree,Software Engineer,< 1 years,$0-999,Coursera;Kaggle Courses (i.e. Kaggle Learn),Python;C++;Javascript;Coursera;Kaggle Courses (i.e. Kaggle Learn)
