Age,Gender,Country,Formal_Education,Position,Years_Coding,Salary
19.5,Male,Russia,Bachelor’s degree,Data Scientist,2.0,12499.5
23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,17499.5
32.0,Male,India,Bachelor’s degree,Data Scientist,5.0,22499.5
23.0,Male,Australia,Master’s degree,Software Engineer,2.0,54999.5
37.0,Male,Japan,Doctoral degree,Research Scientist,2.0,1499.5
37.0,Male,Canada,Doctoral degree,Research Scientist,20.0,137499.5
32.0,Male,Portugal,Doctoral degree,Data Scientist,10.0,17499.5
27.0,Male,United States of America,Master’s degree,Data Engineer,2.0,74999.5
27.0,Male,Russia,Bachelor’s degree,Software Engineer,2.0,1499.5
32.0,Male,Canada,Master’s degree,Business Analyst,5.0,74999.5
32.0,Female,United States of America,Master’s degree,Data Engineer,5.0,137499.5
23.0,Male,France,Master’s degree,Data Scientist,2.0,44999.5
32.0,Male,Canada,Doctoral degree,Research Scientist,10.0,64999.5
27.0,Male,Poland,Master’s degree,Research Scientist,10.0,44999.5
37.0,Male,Netherlands,I prefer not to answer,Software Engineer,2.0,44999.5
32.0,Male,Italy,Some college/university study without earning a bachelor’s degree,Data Scientist,2.0,44999.5
23.0,Male,India,Bachelor’s degree,Software Engineer,5.0,4499.5
23.0,Male,Brazil,Bachelor’s degree,Business Analyst,2.0,12499.5
32.0,Male,United States of America,Master’s degree,Business Analyst,2.0,54999.5
32.0,Male,India,Bachelor’s degree,Business Analyst,2.0,12499.5
27.0,Male,Czech Republic,Master’s degree,Research Scientist,2.0,34999.5
37.0,Prefer not to say,United States of America,Master’s degree,Data Scientist,5.0,224999.5
52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,20.0,64999.5
32.0,Male,United States of America,Master’s degree,Data Scientist,5.0,137499.5
32.0,Female,United States of America,Master’s degree,Data Engineer,20.0,112499.5
37.0,Male,Sweden,Doctoral degree,Data Scientist,10.0,74999.5
27.0,Male,United States of America,Master’s degree,Data Analyst,5.0,94999.5
27.0,Male,India,Master’s degree,Data Scientist,5.0,27499.5
47.0,Male,India,I prefer not to answer,Other,2.0,3499.5
27.0,Male,Spain,Master’s degree,Data Scientist,5.0,44999.5
37.0,Male,Russia,Professional degree,Data Scientist,20.0,44999.5
23.0,Male,United States of America,Bachelor’s degree,Data Analyst,0.0,64999.5
27.0,Male,United States of America,Master’s degree,Data Scientist,5.0,84999.5
32.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,174999.5
23.0,Male,Pakistan,Master’s degree,Data Scientist,2.0,22499.5
27.0,Male,Chile,Master’s degree,Data Scientist,5.0,27499.5
23.0,Male,France,Master’s degree,Software Engineer,2.0,34999.5
19.5,Female,India,Bachelor’s degree,Software Engineer,2.0,17499.5
47.0,Male,Hong Kong (S.A.R.),Professional degree,Data Analyst,5.0,400000.0
32.0,Female,Mexico,Master’s degree,Software Engineer,2.0,2499.5
27.0,Male,India,Master’s degree,Software Engineer,5.0,27499.5
52.0,Male,Spain,Doctoral degree,Research Scientist,20.0,54999.5
19.5,Female,India,Master’s degree,Data Scientist,5.0,4499.5
27.0,Male,South Africa,Bachelor’s degree,Data Scientist,2.0,27499.5
32.0,Male,France,Doctoral degree,Research Scientist,0.0,22499.5
42.0,Male,India,Master’s degree,Data Scientist,5.0,44999.5
64.5,Male,United States of America,Master’s degree,Software Engineer,20.0,112499.5
47.0,Female,Argentina,Professional degree,Data Analyst,10.0,17499.5
27.0,Male,Turkey,Doctoral degree,Data Scientist,10.0,1499.5
57.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,174999.5
32.0,Male,Ireland,Master’s degree,Data Scientist,2.0,34999.5
57.0,Male,France,Master’s degree,Research Scientist,5.0,137499.5
37.0,Male,Portugal,Master’s degree,Software Engineer,10.0,22499.5
42.0,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,5.0,34999.5
23.0,Male,India,Master’s degree,Data Scientist,2.0,12499.5
47.0,Female,United States of America,Master’s degree,Statistician,20.0,224999.5
23.0,Male,Pakistan,Bachelor’s degree,Data Scientist,5.0,8749.5
32.0,Male,United States of America,I prefer not to answer,Data Analyst,5.0,54999.5
42.0,Male,Brazil,Professional degree,Statistician,10.0,34999.5
37.0,Male,Israel,Bachelor’s degree,Other,20.0,137499.5
19.5,Male,India,Bachelor’s degree,Data Scientist,5.0,12499.5
27.0,Male,Japan,Bachelor’s degree,Software Engineer,2.0,3499.5
37.0,Male,United States of America,Master’s degree,Data Scientist,10.0,137499.5
37.0,Male,Other,Master’s degree,Data Scientist,10.0,137499.5
37.0,Male,Italy,Doctoral degree,Other,20.0,137499.5
32.0,Female,Italy,Master’s degree,Data Scientist,5.0,44999.5
27.0,Male,France,Master’s degree,Data Scientist,5.0,64999.5
32.0,Male,Ukraine,Bachelor’s degree,Software Engineer,5.0,34999.5
27.0,Male,India,Master’s degree,Data Scientist,2.0,1499.5
27.0,Male,Japan,Master’s degree,Data Scientist,2.0,6249.5
37.0,Male,Russia,Professional degree,Product/Project Manager,5.0,44999.5
23.0,Female,United States of America,Bachelor’s degree,Data Scientist,5.0,74999.5
47.0,Male,Other,Doctoral degree,Research Scientist,20.0,94999.5
27.0,Male,Brazil,Master’s degree,Software Engineer,5.0,22499.5
23.0,Male,Brazil,Bachelor’s degree,Data Scientist,2.0,22499.5
32.0,Male,Russia,Doctoral degree,Data Scientist,10.0,74999.5
42.0,Male,United States of America,Master’s degree,Data Scientist,20.0,137499.5
37.0,Male,India,Master’s degree,Software Engineer,0.0,17499.5
52.0,Female,Brazil,Doctoral degree,Product/Project Manager,20.0,6249.5
27.0,Female,United States of America,Master’s degree,Data Scientist,10.0,137499.5
27.0,Male,Canada,Master’s degree,Data Scientist,10.0,44999.5
27.0,Female,Canada,Master’s degree,Data Scientist,5.0,74999.5
27.0,Male,Brazil,Bachelor’s degree,Other,5.0,12499.5
57.0,Male,United States of America,Doctoral degree,Other,5.0,12499.5
27.0,Male,Hungary,Some college/university study without earning a bachelor’s degree,Data Analyst,5.0,12499.5
27.0,Male,Belarus,Doctoral degree,Data Scientist,10.0,1499.5
23.0,Male,Spain,Master’s degree,Data Analyst,5.0,12499.5
23.0,Male,United States of America,Bachelor’s degree,Data Analyst,2.0,64999.5
19.5,Male,Canada,Bachelor’s degree,Data Scientist,5.0,74999.5
27.0,Male,India,Master’s degree,Business Analyst,2.0,12499.5
42.0,Male,India,Master’s degree,Data Scientist,5.0,44999.5
37.0,Male,France,Master’s degree,Data Scientist,5.0,54999.5
32.0,Male,Colombia,Doctoral degree,Research Scientist,20.0,27499.5
42.0,Male,Germany,Doctoral degree,Research Scientist,10.0,64999.5
42.0,Male,United States of America,Professional degree,Statistician,20.0,94999.5
27.0,Male,Japan,Doctoral degree,Research Scientist,0.0,34999.5
32.0,Male,India,Professional degree,Business Analyst,2.0,12499.5
52.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,174999.5
27.0,Female,United States of America,Master’s degree,Data Scientist,10.0,174999.5
23.0,Male,Egypt,Bachelor’s degree,Data Scientist,2.0,6249.5
27.0,Male,India,Master’s degree,Data Scientist,5.0,74999.5
32.0,Male,India,Bachelor’s degree,Software Engineer,2.0,34999.5
52.0,Male,Sweden,Master’s degree,Other,10.0,224999.5
19.5,Female,Nigeria,Bachelor’s degree,Data Scientist,5.0,2499.5
47.0,Male,United States of America,Master’s degree,Data Analyst,20.0,112499.5
32.0,Male,Canada,Bachelor’s degree,Software Engineer,20.0,84999.5
27.0,Male,Norway,Master’s degree,Data Scientist,5.0,54999.5
27.0,Female,India,Master’s degree,Data Scientist,5.0,3499.5
27.0,Male,Netherlands,Bachelor’s degree,Data Scientist,10.0,54999.5
32.0,Male,United States of America,Master’s degree,Data Analyst,5.0,54999.5
37.0,Male,India,Master’s degree,Data Scientist,20.0,34999.5
42.0,Male,Japan,Doctoral degree,Research Scientist,10.0,6249.5
27.0,Male,Spain,Master’s degree,Data Scientist,5.0,44999.5
47.0,Male,United States of America,Master’s degree,Other,10.0,224999.5
32.0,Male,South Africa,Master’s degree,Software Engineer,10.0,64999.5
52.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,112499.5
32.0,Female,United States of America,Bachelor’s degree,Data Analyst,2.0,74999.5
64.5,Male,United States of America,Doctoral degree,Other,2.0,224999.5
32.0,Male,Czech Republic,Master’s degree,Other,5.0,12499.5
32.0,Male,Thailand,Master’s degree,Data Scientist,5.0,94999.5
32.0,Male,Taiwan,Master’s degree,Data Scientist,10.0,84999.5
27.0,Male,Netherlands,Doctoral degree,Data Scientist,10.0,74999.5
42.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,20.0,274999.5
37.0,Male,South Korea,Master’s degree,Data Scientist,10.0,4499.5
47.0,Male,Turkey,Doctoral degree,Research Scientist,10.0,54999.5
47.0,Male,United States of America,Master’s degree,Research Scientist,20.0,174999.5
42.0,Male,Indonesia,Bachelor’s degree,Other,20.0,94999.5
23.0,Male,France,Master’s degree,Data Scientist,2.0,44999.5
47.0,Male,United States of America,Master’s degree,Other,5.0,224999.5
42.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,20.0,137499.5
37.0,Male,Japan,Master’s degree,Data Scientist,5.0,6249.5
52.0,Male,Italy,Master’s degree,Software Engineer,2.0,44999.5
32.0,Male,Switzerland,Doctoral degree,Data Scientist,10.0,137499.5
23.0,Male,India,Bachelor’s degree,Software Engineer,2.0,4499.5
23.0,Male,United States of America,Master’s degree,Data Scientist,2.0,74999.5
64.5,Male,United States of America,Master’s degree,Other,2.0,174999.5
32.0,Male,India,Doctoral degree,Data Analyst,5.0,12499.5
27.0,Male,Mexico,Master’s degree,Data Scientist,5.0,44999.5
32.0,Male,Other,Master’s degree,Data Scientist,5.0,17499.5
32.0,Male,Italy,Doctoral degree,Research Scientist,10.0,44999.5
37.0,Male,Other,Doctoral degree,Data Scientist,20.0,137499.5
32.0,Male,South Africa,Professional degree,Product/Project Manager,20.0,112499.5
52.0,Male,Brazil,Master’s degree,Statistician,20.0,112499.5
37.0,Male,Portugal,Master’s degree,Other,10.0,44999.5
32.0,Male,Germany,Doctoral degree,Data Scientist,10.0,64999.5
27.0,Male,United States of America,Master’s degree,Statistician,10.0,94999.5
64.5,Male,United States of America,Bachelor’s degree,Software Engineer,10.0,94999.5
42.0,Male,Argentina,Master’s degree,Business Analyst,20.0,27499.5
42.0,Female,United States of America,Professional degree,Other,0.0,112499.5
52.0,Male,Italy,Some college/university study without earning a bachelor’s degree,Software Engineer,20.0,34999.5
37.0,Male,Netherlands,Doctoral degree,Data Scientist,10.0,64999.5
19.5,Female,United States of America,Bachelor’s degree,Software Engineer,5.0,84999.5
27.0,Male,Taiwan,Master’s degree,Software Engineer,2.0,2499.5
19.5,Female,Russia,Bachelor’s degree,Data Analyst,2.0,12499.5
57.0,Male,Colombia,Master’s degree,Data Analyst,20.0,3499.5
27.0,Male,Thailand,Master’s degree,Data Scientist,2.0,22499.5
52.0,Male,Indonesia,Professional degree,Data Analyst,5.0,8749.5
37.0,Male,Other,Doctoral degree,Software Engineer,20.0,94999.5
32.0,Male,Chile,Bachelor’s degree,Software Engineer,5.0,17499.5
27.0,Male,United States of America,Bachelor’s degree,Other,2.0,27499.5
23.0,Male,Colombia,Bachelor’s degree,Statistician,5.0,8749.5
32.0,Male,Colombia,Master’s degree,Product/Project Manager,2.0,112499.5
27.0,Male,India,Bachelor’s degree,Data Engineer,5.0,27499.5
37.0,Male,United States of America,Doctoral degree,Data Analyst,10.0,74999.5
37.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,112499.5
42.0,Female,United States of America,Doctoral degree,Data Scientist,10.0,112499.5
23.0,Male,Russia,Master’s degree,Data Scientist,2.0,4499.5
32.0,Male,India,Professional degree,Research Scientist,0.0,8749.5
27.0,Female,United States of America,Master’s degree,Data Scientist,10.0,137499.5
32.0,Male,Israel,Master’s degree,Data Scientist,10.0,84999.5
32.0,Prefer to self-describe,Other,Doctoral degree,Research Scientist,5.0,27499.5
64.5,Male,United States of America,Doctoral degree,Data Scientist,20.0,400000.0
27.0,Female,Russia,Doctoral degree,Data Scientist,5.0,27499.5
27.0,Male,Other,Master’s degree,Other,2.0,22499.5
32.0,Male,India,Master’s degree,Data Scientist,10.0,22499.5
57.0,Male,United States of America,Bachelor’s degree,Other,20.0,174999.5
23.0,Male,India,Bachelor’s degree,Data Analyst,2.0,17499.5
23.0,Male,India,Bachelor’s degree,Data Scientist,2.0,12499.5
27.0,Male,Italy,Professional degree,Data Scientist,10.0,44999.5
57.0,Female,Canada,Bachelor’s degree,Data Analyst,10.0,84999.5
27.0,Male,United States of America,Bachelor’s degree,Data Analyst,5.0,94999.5
23.0,Female,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,2.0,12499.5
27.0,Prefer not to say,Japan,Master’s degree,Data Analyst,5.0,44999.5
47.0,Female,United States of America,Master’s degree,Data Analyst,5.0,137499.5
27.0,Male,United States of America,Master’s degree,Data Scientist,2.0,137499.5
27.0,Female,France,Master’s degree,Data Scientist,5.0,44999.5
23.0,Male,India,Master’s degree,Software Engineer,2.0,6249.5
19.5,Male,India,Master’s degree,Business Analyst,20.0,224999.5
32.0,Male,Japan,Master’s degree,Data Analyst,5.0,4499.5
57.0,Male,Taiwan,Doctoral degree,Research Scientist,2.0,34999.5
27.0,Male,Russia,No formal education past high school,Statistician,5.0,22499.5
27.0,Male,Mexico,Bachelor’s degree,Data Scientist,5.0,12499.5
27.0,Male,France,Doctoral degree,Data Scientist,2.0,2499.5
23.0,Prefer to self-describe,Russia,Professional degree,Software Engineer,2.0,12499.5
37.0,Male,Brazil,Master’s degree,DBA/Database Engineer,5.0,54999.5
32.0,Male,Argentina,Doctoral degree,Data Scientist,20.0,17499.5
23.0,Prefer not to say,Viet Nam,Bachelor’s degree,Data Scientist,2.0,400000.0
32.0,Male,Japan,Bachelor’s degree,Other,10.0,112499.5
32.0,Male,United States of America,Master’s degree,Product/Project Manager,10.0,224999.5
27.0,Male,Italy,Doctoral degree,Research Scientist,10.0,12499.5
27.0,Male,India,Master’s degree,Data Scientist,5.0,8749.5
32.0,Male,Japan,Master’s degree,Data Scientist,10.0,6249.5
32.0,Male,India,Bachelor’s degree,Software Engineer,2.0,12499.5
32.0,Male,India,Bachelor’s degree,Software Engineer,10.0,17499.5
57.0,Male,Brazil,Master’s degree,Software Engineer,5.0,12499.5
27.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5.0,74999.5
32.0,Male,Netherlands,Doctoral degree,Data Scientist,10.0,54999.5
42.0,Male,United States of America,Professional degree,Software Engineer,2.0,112499.5
47.0,Female,Japan,Doctoral degree,Data Scientist,20.0,112499.5
37.0,Male,Spain,Doctoral degree,Research Scientist,2.0,34999.5
37.0,Male,Singapore,Master’s degree,Data Scientist,10.0,174999.5
32.0,Male,Pakistan,Bachelor’s degree,Software Engineer,2.0,17499.5
32.0,Male,United States of America,Master’s degree,Data Scientist,10.0,137499.5
52.0,Male,Canada,Master’s degree,Data Scientist,5.0,8749.5
32.0,Female,France,Doctoral degree,Research Scientist,2.0,64999.5
47.0,Female,Canada,Bachelor’s degree,Product/Project Manager,20.0,74999.5
32.0,Male,India,Master’s degree,Other,0.0,12499.5
37.0,Male,Brazil,Master’s degree,Software Engineer,2.0,22499.5
32.0,Female,Russia,Master’s degree,Data Analyst,10.0,12499.5
27.0,Female,United States of America,Bachelor’s degree,Other,5.0,22499.5
27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,10.0,54999.5
42.0,Female,United States of America,Bachelor’s degree,Data Analyst,2.0,64999.5
27.0,Male,Germany,Doctoral degree,Research Scientist,5.0,54999.5
23.0,Male,Germany,Master’s degree,Software Engineer,10.0,34999.5
42.0,Female,United States of America,Master’s degree,Software Engineer,5.0,137499.5
52.0,Male,France,Professional degree,Data Engineer,20.0,137499.5
37.0,Male,United States of America,Doctoral degree,Statistician,20.0,74999.5
42.0,Male,United States of America,Bachelor’s degree,Statistician,20.0,137499.5
47.0,Male,United States of America,Master’s degree,Data Analyst,2.0,94999.5
32.0,Male,United States of America,Master’s degree,Data Scientist,10.0,94999.5
23.0,Male,Colombia,Professional degree,Data Analyst,5.0,1499.5
32.0,Male,United States of America,Master’s degree,Research Scientist,10.0,224999.5
37.0,Male,Italy,Bachelor’s degree,Data Analyst,0.0,34999.5
37.0,Male,Canada,Doctoral degree,Data Scientist,20.0,112499.5
52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,5.0,112499.5
27.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10.0,74999.5
42.0,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Product/Project Manager,20.0,174999.5
32.0,Male,Germany,Doctoral degree,Research Scientist,5.0,44999.5
27.0,Male,Germany,Master’s degree,Data Analyst,2.0,54999.5
42.0,Male,United States of America,Doctoral degree,Data Scientist,10.0,112499.5
52.0,Male,United States of America,Master’s degree,Other,20.0,112499.5
42.0,Male,India,I prefer not to answer,Product/Project Manager,5.0,27499.5
37.0,Female,Sweden,Master’s degree,Data Engineer,5.0,6249.5
27.0,Male,United States of America,Bachelor’s degree,Data Engineer,5.0,112499.5
27.0,Male,United States of America,Master’s degree,Software Engineer,2.0,112499.5
32.0,Male,South Africa,Master’s degree,Business Analyst,5.0,64999.5
32.0,Male,United States of America,Master’s degree,Data Scientist,20.0,274999.5
32.0,Male,Canada,Master’s degree,Data Scientist,5.0,84999.5
32.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,94999.5
42.0,Male,Canada,Doctoral degree,Research Scientist,20.0,274999.5
32.0,Male,United States of America,Bachelor’s degree,Other,10.0,137499.5
42.0,Male,Italy,Master’s degree,Data Analyst,5.0,1499.5
42.0,Male,Poland,Master’s degree,Product/Project Manager,20.0,22499.5
32.0,Male,Poland,Master’s degree,Data Scientist,5.0,22499.5
27.0,Male,India,Bachelor’s degree,Data Scientist,10.0,94999.5
42.0,Male,United States of America,Doctoral degree,Other,20.0,400000.0
27.0,Male,Spain,Master’s degree,Product/Project Manager,5.0,34999.5
23.0,Male,India,Master’s degree,Data Scientist,2.0,8749.5
32.0,Male,Ireland,Master’s degree,Software Engineer,2.0,44999.5
27.0,Male,United States of America,Master’s degree,Data Scientist,10.0,84999.5
27.0,Male,Brazil,Master’s degree,Data Scientist,5.0,22499.5
23.0,Male,India,Bachelor’s degree,Research Scientist,2.0,22499.5
32.0,Male,United States of America,Bachelor’s degree,Data Scientist,5.0,137499.5
52.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,84999.5
23.0,Male,India,Bachelor’s degree,Software Engineer,5.0,8749.5
23.0,Male,"Iran, Islamic Republic of...",Bachelor’s degree,Software Engineer,2.0,12499.5
37.0,Male,Canada,Master’s degree,Data Scientist,10.0,94999.5
27.0,Male,Spain,Doctoral degree,Other,0.0,27499.5
57.0,Male,Spain,Doctoral degree,Research Scientist,2.0,22499.5
42.0,Male,Other,Doctoral degree,Software Engineer,20.0,224999.5
32.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,174999.5
37.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,137499.5
57.0,Male,United States of America,Doctoral degree,Data Scientist,20.0,174999.5
47.0,Male,India,Doctoral degree,Other,20.0,34999.5
27.0,Male,United States of America,Bachelor’s degree,Software Engineer,20.0,174999.5
64.5,Male,United States of America,Doctoral degree,Data Scientist,5.0,137499.5
32.0,Male,Poland,Some college/university study without earning a bachelor’s degree,Other,0.0,8749.5
37.0,Male,Singapore,Master’s degree,Data Analyst,20.0,137499.5
23.0,Male,Bangladesh,Bachelor’s degree,Data Scientist,5.0,17499.5
27.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5.0,64999.5
37.0,Male,United States of America,Master’s degree,Data Analyst,2.0,94999.5
27.0,Male,Russia,Master’s degree,Data Scientist,10.0,400000.0
23.0,Male,Turkey,Master’s degree,Data Scientist,2.0,44999.5
27.0,Male,United States of America,Bachelor’s degree,Software Engineer,10.0,174999.5
32.0,Female,Egypt,Bachelor’s degree,Data Scientist,5.0,1499.5
27.0,Male,Netherlands,Doctoral degree,Other,5.0,64999.5
37.0,Male,United States of America,Master’s degree,Data Scientist,2.0,112499.5
32.0,Male,Switzerland,Doctoral degree,Research Scientist,20.0,174999.5
42.0,Male,Other,Professional degree,Research Scientist,2.0,12499.5
27.0,Female,India,Master’s degree,Data Scientist,5.0,4499.5
42.0,Male,Other,Master’s degree,Data Scientist,20.0,112499.5
27.0,Male,India,Bachelor’s degree,Data Scientist,5.0,64999.5
32.0,Male,France,Master’s degree,Software Engineer,10.0,44999.5
37.0,Male,Singapore,Master’s degree,Product/Project Manager,20.0,274999.5
32.0,Female,United States of America,Doctoral degree,Research Scientist,10.0,137499.5
32.0,Male,Russia,Doctoral degree,Data Scientist,5.0,44999.5
27.0,Male,Brazil,Master’s degree,Data Scientist,5.0,27499.5
37.0,Male,India,Master’s degree,Other,5.0,54999.5
42.0,Female,South Africa,Bachelor’s degree,Data Scientist,20.0,54999.5
32.0,Female,United States of America,Doctoral degree,Research Scientist,10.0,54999.5
37.0,Male,India,Master’s degree,Data Scientist,20.0,4499.5
47.0,Male,Turkey,Doctoral degree,Data Analyst,20.0,17499.5
37.0,Male,Other,Master’s degree,Software Engineer,10.0,64999.5
23.0,Male,India,Master’s degree,Data Scientist,2.0,94999.5
27.0,Male,Other,Doctoral degree,Software Engineer,5.0,12499.5
47.0,Male,United States of America,Master’s degree,Other,20.0,174999.5
32.0,Male,United States of America,Doctoral degree,Research Scientist,20.0,74999.5
52.0,Male,Taiwan,Master’s degree,Software Engineer,20.0,34999.5
27.0,Male,Italy,Master’s degree,Data Scientist,5.0,54999.5
47.0,Male,Brazil,I prefer not to answer,Data Scientist,10.0,12499.5
57.0,Male,Netherlands,Doctoral degree,Business Analyst,5.0,27499.5
32.0,Male,Singapore,Doctoral degree,Software Engineer,10.0,44999.5
37.0,Male,Russia,Master’s degree,Software Engineer,5.0,27499.5
37.0,Male,Poland,Doctoral degree,Data Scientist,10.0,22499.5
42.0,Male,Canada,Professional degree,Other,0.0,64999.5
37.0,Male,India,Master’s degree,Product/Project Manager,20.0,34999.5
27.0,Female,Japan,Master’s degree,Data Scientist,0.0,3499.5
32.0,Male,Brazil,Professional degree,Other,10.0,2499.5
32.0,Male,Pakistan,Master’s degree,Software Engineer,5.0,6249.5
42.0,Male,Other,Master’s degree,Data Scientist,10.0,112499.5
37.0,Male,Other,Master’s degree,Product/Project Manager,2.0,54999.5
37.0,Male,India,Bachelor’s degree,Product/Project Manager,20.0,17499.5
32.0,Female,Italy,Doctoral degree,Data Scientist,5.0,34999.5
27.0,Female,India,Master’s degree,Software Engineer,5.0,174999.5
47.0,Prefer not to say,Italy,I prefer not to answer,Software Engineer,5.0,8749.5
27.0,Female,Other,Master’s degree,Software Engineer,5.0,12499.5
27.0,Male,India,Bachelor’s degree,DBA/Database Engineer,0.0,1499.5
23.0,Male,United States of America,Master’s degree,Data Scientist,10.0,64999.5
37.0,Male,Brazil,Some college/university study without earning a bachelor’s degree,Software Engineer,2.0,27499.5
19.5,Male,United States of America,Bachelor’s degree,Data Scientist,2.0,54999.5
32.0,Male,South Africa,Bachelor’s degree,Data Scientist,5.0,74999.5
64.5,Male,United States of America,Doctoral degree,Data Scientist,20.0,224999.5
27.0,Male,Russia,Master’s degree,Data Analyst,5.0,3499.5
27.0,Female,Brazil,Professional degree,Data Analyst,2.0,12499.5
64.5,Male,Mexico,Master’s degree,Other,0.0,54999.5
37.0,Female,United States of America,Doctoral degree,Other,20.0,137499.5
32.0,Male,United States of America,Master’s degree,Data Scientist,5.0,94999.5
42.0,Male,United States of America,Master’s degree,Data Scientist,10.0,137499.5
37.0,Male,Germany,Master’s degree,Research Scientist,10.0,64999.5
37.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,10.0,27499.5
32.0,Male,Switzerland,Master’s degree,Other,5.0,84999.5
52.0,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,20.0,112499.5
27.0,Male,Argentina,Professional degree,Other,2.0,12499.5
32.0,Male,India,Bachelor’s degree,Software Engineer,10.0,4499.5
23.0,Male,Poland,Master’s degree,Data Analyst,2.0,27499.5
27.0,Male,Brazil,Bachelor’s degree,Data Scientist,2.0,8749.5
47.0,Male,United States of America,Master’s degree,Other,2.0,224999.5
