,age,gender,country,education,job_title,years_coding,salary,Data_Science_Course,Languages
57,35-39,Man,Taiwan,Master’s degree,Software Engineer,5-10 years,"25,000-29,999",University Courses (resulting in a university degree),SQL;C;University Courses (resulting in a university degree)
59,35-39,Man,United States of America,Doctoral degree,Data Analyst,1-2 years,"70,000-79,999","DataCamp;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","SQL;DataCamp;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
60,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,"10,000-14,999",Fast.ai,Fast.ai
61,18-21,Woman,Indonesia,Bachelor’s degree,Data Scientist,< 1 years,$0-999,DataCamp;University Courses (resulting in a university degree),R;SQL;C;Javascript;DataCamp;University Courses (resulting in a university degree)
65,35-39,Man,Germany,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",None,R;None
66,25-29,Man,China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,$0-999,,
68,50-54,Woman,Italy,Doctoral degree,Research Scientist,1-2 years,$0-999,Kaggle Learn Courses,SQL;C;Kaggle Learn Courses
69,40-44,Man,India,Professional degree,Software Engineer,10-20 years,"80,000-89,999",DataCamp;Udacity,Java;DataCamp;Udacity
72,25-29,Man,Taiwan,Master’s degree,Other,3-5 years,"25,000-29,999",edX;Kaggle Learn Courses;Udacity,C;MATLAB;edX;Kaggle Learn Courses;Udacity
74,25-29,Man,Other,Bachelor’s degree,Data Analyst,1-2 years,$0-999,None,SQL;None
75,60-69,Man,Other,Doctoral degree,Other,5-10 years,"7,500-9,999",,R;
78,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$0-999,Kaggle Learn Courses;Udemy,R;SQL;C;Java;Kaggle Learn Courses;Udemy
79,22-24,Man,Russia,Master’s degree,Machine Learning Engineer,3-5 years,"15,000-19,999",University Courses (resulting in a university degree),SQL;Bash;University Courses (resulting in a university degree)
81,40-44,Man,India,Master’s degree,Other,< 1 years,"15,000-19,999",University Courses (resulting in a university degree),University Courses (resulting in a university degree)
82,22-24,Man,Other,Professional degree,Data Analyst,1-2 years,$0-999,,SQL;Javascript;
83,35-39,Woman,Other,Doctoral degree,Other,< 1 years,$0-999,,
84,30-34,Man,United Arab Emirates,Master’s degree,Research Scientist,5-10 years,"80,000-89,999",edX;DataCamp;Udacity;Udemy;University Courses (resulting in a university degree),C++;edX;DataCamp;Udacity;Udemy;University Courses (resulting in a university degree)
90,55-59,Man,Colombia,Master’s degree,Data Scientist,10-20 years,"40,000-49,999",DataCamp;Udacity;Udemy;University Courses (resulting in a university degree),R;DataCamp;Udacity;Udemy;University Courses (resulting in a university degree)
93,35-39,Man,Canada,Master’s degree,Data Scientist,10-20 years,"80,000-89,999",edX;Udacity;University Courses (resulting in a university degree),edX;Udacity;University Courses (resulting in a university degree)
94,22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,"10,000-14,999",edX;Udemy,SQL;C++;Javascript;MATLAB;edX;Udemy
95,18-21,Man,India,I prefer not to answer,Machine Learning Engineer,1-2 years,$0-999,,Javascript;
98,30-34,Man,India,Master’s degree,Other,< 1 years,"30,000-39,999",None,None
101,22-24,Man,Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,"15,000-19,999",edX;Fast.ai,edX;Fast.ai
104,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,"90,000-99,999",Udemy,Udemy
105,22-24,Man,Other,Bachelor’s degree,Software Engineer,5-10 years,"10,000-14,999",Kaggle Learn Courses;Fast.ai;University Courses (resulting in a university degree),Swift;Kaggle Learn Courses;Fast.ai;University Courses (resulting in a university degree)
106,25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy,C++;edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy
108,30-34,Man,United States of America,Bachelor’s degree,Other,1-2 years,"50,000-59,999","edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)","R;SQL;Julia;edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)"
110,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,Kaggle Learn Courses,C;C++;Java;Kaggle Learn Courses
111,22-24,Man,Brazil,Professional degree,Business Analyst,< 1 years,$0-999,Kaggle Learn Courses;Udemy,Kaggle Learn Courses;Udemy
114,18-21,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"7,500-9,999",edX;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),R;edX;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
115,25-29,Woman,Egypt,Master’s degree,Data Scientist,5-10 years,$0-999,,R;SQL;
120,35-39,Man,United States of America,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",University Courses (resulting in a university degree),R;SQL;University Courses (resulting in a university degree)
122,35-39,Man,Russia,Doctoral degree,Research Scientist,10-20 years,"15,000-19,999",,Javascript;
124,45-49,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years,"250,000-299,999",edX;Kaggle Learn Courses;Udacity,SQL;edX;Kaggle Learn Courses;Udacity
126,25-29,Man,Poland,Master’s degree,Software Engineer,3-5 years,"15,000-19,999",None,None
131,40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,5-10 years,$0-999,None,None
133,35-39,Man,Other,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",,R;SQL;Java;
135,25-29,Man,Netherlands,Master’s degree,Machine Learning Engineer,3-5 years,$0-999,Udacity;University Courses (resulting in a university degree),C++;MATLAB;Udacity;University Courses (resulting in a university degree)
137,35-39,Man,Canada,Master’s degree,Data Scientist,5-10 years,"80,000-89,999","edX;Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)","SQL;edX;Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)"
138,35-39,Man,Nigeria,Bachelor’s degree,Software Engineer,10-20 years,"60,000-69,999",edX;Kaggle Learn Courses;Fast.ai;Udacity,SQL;Java;Javascript;Julia;edX;Kaggle Learn Courses;Fast.ai;Udacity
139,25-29,Woman,India,Bachelor’s degree,Data Analyst,1-2 years,"5,000-7,499",,R;
140,35-39,Woman,Other,Master’s degree,Product/Project Manager,< 1 years,"30,000-39,999",None,MATLAB;None
142,25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years,"60,000-69,999",Kaggle Learn Courses;Udacity;Udemy;University Courses (resulting in a university degree),SQL;Java;Javascript;Bash;Kaggle Learn Courses;Udacity;Udemy;University Courses (resulting in a university degree)
143,18-21,Man,Nigeria,I prefer not to answer,Data Scientist,< 1 years,$0-999,DataCamp;Fast.ai;Udemy,DataCamp;Fast.ai;Udemy
145,22-24,Man,France,Master’s degree,Research Scientist,3-5 years,"50,000-59,999",University Courses (resulting in a university degree),R;University Courses (resulting in a university degree)
147,30-34,Man,Netherlands,Master’s degree,Data Analyst,3-5 years,"4,000-4,999",Udemy,SQL;C++;Swift;Bash;Udemy
148,40-44,Man,Germany,Doctoral degree,Software Engineer,20+ years,"50,000-59,999",,SQL;C++;
154,30-34,Man,Belgium,Doctoral degree,Research Scientist,3-5 years,"30,000-39,999",Fast.ai,Bash;Fast.ai
155,35-39,Man,Other,Master’s degree,Business Analyst,3-5 years,$0-999,edX;DataCamp,R;edX;DataCamp
156,25-29,Woman,Germany,Master’s degree,Data Scientist,3-5 years,"50,000-59,999",University Courses (resulting in a university degree),SQL;University Courses (resulting in a university degree)
158,25-29,Woman,Saudi Arabia,Master’s degree,Data Analyst,5-10 years,"40,000-49,999",Udacity,SQL;Udacity
159,22-24,Man,Russia,Doctoral degree,Research Scientist,3-5 years,"2,000-2,999",edX;Fast.ai,SQL;MATLAB;edX;Fast.ai
161,25-29,Man,Other,Master’s degree,Software Engineer,5-10 years,$0-999,Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;University Courses (resulting in a university degree),R;SQL;C++;Java;Javascript;MATLAB;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning;University Courses (resulting in a university degree)
163,18-21,Man,Turkey,Bachelor’s degree,Data Scientist,1-2 years,"5,000-7,499",Udemy,SQL;Udemy
164,30-34,Man,Russia,Master’s degree,Software Engineer,5-10 years,"15,000-19,999",Kaggle Learn Courses,SQL;Bash;Kaggle Learn Courses
165,30-34,Man,Italy,Professional degree,Research Scientist,< 1 years,$0-999,Udemy,Udemy
168,40-44,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,"100,000-124,999",edX;Kaggle Learn Courses;Udemy,R;SQL;edX;Kaggle Learn Courses;Udemy
172,22-24,Woman,India,Bachelor’s degree,Software Engineer,I have never written code,$0-999,,
173,25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years,"2,000-2,999",University Courses (resulting in a university degree),R;SQL;C;C++;Java;Javascript;MATLAB;University Courses (resulting in a university degree)
174,50-54,Man,Spain,Doctoral degree,Research Scientist,20+ years,"70,000-79,999",edX;Kaggle Learn Courses;University Courses (resulting in a university degree),SQL;C;C++;Java;Bash;edX;Kaggle Learn Courses;University Courses (resulting in a university degree)
175,30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years,"80,000-89,999",DataCamp,R;SQL;DataCamp
176,30-34,Man,India,Bachelor’s degree,Other,< 1 years,"10,000-14,999",Udemy,Udemy
177,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,"40,000-49,999",Udemy;LinkedIn Learning,C;C++;MATLAB;Udemy;LinkedIn Learning
178,45-49,Man,United States of America,Master’s degree,Software Engineer,3-5 years,"150,000-199,999",edX;Kaggle Learn Courses;DataCamp;Udacity;LinkedIn Learning,R;SQL;C++;Javascript;Bash;edX;Kaggle Learn Courses;DataCamp;Udacity;LinkedIn Learning
180,30-34,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,"20,000-24,999",edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning,edX;Kaggle Learn Courses;DataCamp;Udacity;Udemy;LinkedIn Learning
183,35-39,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,"150,000-199,999",University Courses (resulting in a university degree),SQL;Java;University Courses (resulting in a university degree)
184,30-34,Woman,Spain,Master’s degree,Data Scientist,1-2 years,"40,000-49,999",Kaggle Learn Courses;Udemy;University Courses (resulting in a university degree),R;C;Kaggle Learn Courses;Udemy;University Courses (resulting in a university degree)
188,40-44,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 years,"30,000-39,999",DataCamp;LinkedIn Learning,SQL;DataCamp;LinkedIn Learning
192,22-24,Woman,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,$0-999,Kaggle Learn Courses;Fast.ai,R;SQL;C++;Java;Javascript;Swift;Kaggle Learn Courses;Fast.ai
194,40-44,Man,Other,Doctoral degree,Data Scientist,20+ years,"100,000-124,999",edX,SQL;Java;Bash;MATLAB;edX
195,22-24,Man,United States of America,Master’s degree,Data Analyst,3-5 years,"30,000-39,999",Udemy;University Courses (resulting in a university degree),SQL;Javascript;Udemy;University Courses (resulting in a university degree)
196,30-34,Man,Egypt,Bachelor’s degree,Other,10-20 years,"15,000-19,999",DataCamp;Udacity;Udemy,SQL;DataCamp;Udacity;Udemy
197,30-34,Woman,Germany,Doctoral degree,Data Scientist,5-10 years,"50,000-59,999",None,R;SQL;None
199,25-29,Woman,Tunisia,Professional degree,Research Scientist,1-2 years,$0-999,,
200,22-24,Woman,Romania,Master’s degree,Data Scientist,1-2 years,"15,000-19,999",Kaggle Learn Courses;DataCamp;Udemy,R;Kaggle Learn Courses;DataCamp;Udemy
204,30-34,Man,Russia,Bachelor’s degree,Data Scientist,1-2 years,"25,000-29,999","edX;Fast.ai;Udacity;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","edX;Fast.ai;Udacity;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
206,25-29,Man,India,Master’s degree,Other,1-2 years,"10,000-14,999",Kaggle Learn Courses,R;Kaggle Learn Courses
209,40-44,Man,India,Master’s degree,Data Scientist,3-5 years,"10,000-14,999",Kaggle Learn Courses;DataCamp;Udemy,SQL;Kaggle Learn Courses;DataCamp;Udemy
210,35-39,Man,India,Master’s degree,Data Scientist,5-10 years,"4,000-4,999",,R;SQL;
215,40-44,Man,United States of America,Doctoral degree,Other,20+ years,"300,000-500,000",,
221,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,"60,000-69,999","edX;Kaggle Learn Courses;Fast.ai;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)","SQL;Java;edX;Kaggle Learn Courses;Fast.ai;Udemy;LinkedIn Learning;Cloud-certification programs (direct from AWS, Azure, GCP, or similar);University Courses (resulting in a university degree)"
222,22-24,Woman,India,Master’s degree,Data Scientist,< 1 years,$0-999,University Courses (resulting in a university degree),R;SQL;University Courses (resulting in a university degree)
225,25-29,Man,Colombia,Professional degree,Data Analyst,5-10 years,"10,000-14,999",Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning,SQL;Kaggle Learn Courses;DataCamp;Udemy;LinkedIn Learning
230,18-21,Man,United States of America,Master’s degree,Software Engineer,3-5 years,"90,000-99,999",University Courses (resulting in a university degree),SQL;C++;Java;University Courses (resulting in a university degree)
232,60-69,Man,Japan,Master’s degree,Product/Project Manager,< 1 years,"150,000-199,999",Udemy,Udemy
234,35-39,Man,Republic of Korea,Professional degree,Data Analyst,5-10 years,"50,000-59,999",Kaggle Learn Courses,R;SQL;Kaggle Learn Courses
237,22-24,Man,India,Bachelor’s degree,Data Engineer,10-20 years,"10,000-14,999",Kaggle Learn Courses;Udacity,SQL;C++;Kaggle Learn Courses;Udacity
239,30-34,Man,United States of America,Doctoral degree,Other,3-5 years,"125,000-149,999",Kaggle Learn Courses,Kaggle Learn Courses
240,30-34,Man,Chile,Master’s degree,Software Engineer,3-5 years,"25,000-29,999",,SQL;Javascript;
243,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,Kaggle Learn Courses;Udemy,Kaggle Learn Courses;Udemy
244,40-44,Woman,United States of America,Master’s degree,Statistician,1-2 years,"40,000-49,999",Kaggle Learn Courses;DataCamp;University Courses (resulting in a university degree),R;Kaggle Learn Courses;DataCamp;University Courses (resulting in a university degree)
245,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years,$0-999,Kaggle Learn Courses;Udemy,SQL;Javascript;Bash;Kaggle Learn Courses;Udemy
246,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,"200,000-249,999",DataCamp;University Courses (resulting in a university degree),SQL;DataCamp;University Courses (resulting in a university degree)
250,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,
254,50-54,Man,Japan,Master’s degree,Product/Project Manager,20+ years,"125,000-149,999",Kaggle Learn Courses;Udemy,SQL;Java;Kaggle Learn Courses;Udemy
255,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,$0-999,,SQL;
257,22-24,Man,India,Bachelor’s degree,Software Engineer,I have never written code,"2,000-2,999",,
258,40-44,Man,Other,Bachelor’s degree,Other,I have never written code,$0-999,,
259,18-21,Man,Brazil,Bachelor’s degree,Software Engineer,1-2 years,"4,000-4,999",Udemy;University Courses (resulting in a university degree),R;C;Javascript;Udemy;University Courses (resulting in a university degree)
260,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,Kaggle Learn Courses;Udemy;LinkedIn Learning,SQL;C;C++;Kaggle Learn Courses;Udemy;LinkedIn Learning
265,22-24,Man,Italy,Master’s degree,Machine Learning Engineer,5-10 years,"5,000-7,499",University Courses (resulting in a university degree),University Courses (resulting in a university degree)
266,25-29,Man,India,Bachelor’s degree,Data Engineer,3-5 years,"20,000-24,999",DataCamp;Udemy,SQL;Java;Bash;DataCamp;Udemy
268,40-44,Man,United States of America,Master’s degree,Statistician,10-20 years,"150,000-199,999",Kaggle Learn Courses;DataCamp;Fast.ai;Udacity;Udemy,R;SQL;Kaggle Learn Courses;DataCamp;Fast.ai;Udacity;Udemy
271,22-24,Man,Russia,Master’s degree,Data Analyst,1-2 years,"10,000-14,999",University Courses (resulting in a university degree),C++;University Courses (resulting in a university degree)
272,45-49,Man,Other,Professional degree,Software Engineer,10-20 years,$0-999,edX;Udemy;LinkedIn Learning,SQL;Javascript;edX;Udemy;LinkedIn Learning
275,55-59,Man,Germany,Doctoral degree,Business Analyst,20+ years,"125,000-149,999",,R;SQL;C;C++;Java;
278,50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,"100,000-124,999",Kaggle Learn Courses;University Courses (resulting in a university degree),SQL;Bash;Kaggle Learn Courses;University Courses (resulting in a university degree)
280,60-69,Man,United States of America,Master’s degree,Other,20+ years,"150,000-199,999",Kaggle Learn Courses;Udemy;LinkedIn Learning,SQL;C++;Kaggle Learn Courses;Udemy;LinkedIn Learning
281,40-44,Man,Turkey,I prefer not to answer,Other,I have never written code,"20,000-24,999",,
285,25-29,Man,India,Master’s degree,Other,5-10 years,"10,000-14,999",Kaggle Learn Courses;Fast.ai;LinkedIn Learning,Java;Javascript;Kaggle Learn Courses;Fast.ai;LinkedIn Learning
288,50-54,Man,Other,Doctoral degree,Research Scientist,I have never written code,$0-999,Kaggle Learn Courses;LinkedIn Learning,Kaggle Learn Courses;LinkedIn Learning
291,30-34,Man,Mexico,Master’s degree,Data Analyst,< 1 years,"25,000-29,999",edX;Kaggle Learn Courses;Udemy,edX;Kaggle Learn Courses;Udemy
293,22-24,Man,United States of America,Master’s degree,Business Analyst,3-5 years,"60,000-69,999","Kaggle Learn Courses;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","R;SQL;Kaggle Learn Courses;Udemy;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
294,25-29,Man,Ireland,Master’s degree,Data Analyst,< 1 years,"50,000-59,999",,None;
300,25-29,Man,Taiwan,Master’s degree,Other,< 1 years,"2,000-2,999",Kaggle Learn Courses,Kaggle Learn Courses
301,45-49,Man,"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,20+ years,"20,000-24,999",edX,C;MATLAB;edX
302,35-39,Man,Spain,Master’s degree,Data Engineer,5-10 years,"20,000-24,999",University Courses (resulting in a university degree),R;University Courses (resulting in a university degree)
303,30-34,Man,Sweden,Master’s degree,Data Scientist,5-10 years,"50,000-59,999",edX;Kaggle Learn Courses;Udacity,edX;Kaggle Learn Courses;Udacity
304,35-39,Man,Spain,Doctoral degree,Other,10-20 years,"70,000-79,999",DataCamp;Fast.ai;Udacity,SQL;Java;Javascript;Bash;DataCamp;Fast.ai;Udacity
307,40-44,Man,Poland,Doctoral degree,Business Analyst,< 1 years,$0-999,Kaggle Learn Courses;Udemy,SQL;Kaggle Learn Courses;Udemy
309,35-39,Woman,Poland,Master’s degree,Data Analyst,3-5 years,"40,000-49,999",Kaggle Learn Courses;Udemy;University Courses (resulting in a university degree),SQL;Kaggle Learn Courses;Udemy;University Courses (resulting in a university degree)
311,55-59,Man,Netherlands,Master’s degree,Data Scientist,5-10 years,"70,000-79,999",Kaggle Learn Courses;DataCamp,SQL;Bash;Kaggle Learn Courses;DataCamp
314,60-69,Man,United States of America,Master’s degree,Product/Project Manager,20+ years,"60,000-69,999",Kaggle Learn Courses,SQL;Javascript;Kaggle Learn Courses
315,22-24,Man,India,Master’s degree,Other,1-2 years,"1,000-1,999",None,R;None
316,45-49,Man,Canada,Master’s degree,Software Engineer,20+ years,"100,000-124,999",,R;C;C++;Javascript;Bash;
317,55-59,Man,United States of America,Master’s degree,Product/Project Manager,20+ years,"200,000-249,999",None,MATLAB;None
318,55-59,Man,France,Doctoral degree,Data Scientist,20+ years,"300,000-500,000",,
320,22-24,Man,India,Bachelor’s degree,Software Engineer,1-2 years,"5,000-7,499",Udacity,SQL;C++;Java;Javascript;Udacity
322,18-21,Man,India,Bachelor’s degree,Data Scientist,1-2 years,$0-999,Udemy,C;Udemy
325,25-29,Man,United States of America,Bachelor’s degree,Data Scientist,10-20 years,"100,000-124,999",University Courses (resulting in a university degree),R;SQL;University Courses (resulting in a university degree)
328,35-39,Man,Japan,Master’s degree,Data Scientist,5-10 years,"5,000-7,499",None,None
330,40-44,Man,Brazil,Master’s degree,Software Engineer,20+ years,"20,000-24,999",Udemy,C;Java;Bash;Udemy
333,35-39,Man,India,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,,
334,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,$0-999,DataCamp;Fast.ai;Udacity,SQL;C++;Java;Javascript;DataCamp;Fast.ai;Udacity
339,22-24,Man,Greece,Some college/university study without earning a bachelor’s degree,Product/Project Manager,3-5 years,$0-999,edX;Kaggle Learn Courses;DataCamp;Udemy,SQL;edX;Kaggle Learn Courses;DataCamp;Udemy
344,30-34,Man,Indonesia,Bachelor’s degree,Other,< 1 years,$0-999,University Courses (resulting in a university degree),R;University Courses (resulting in a university degree)
345,50-54,Man,Taiwan,Doctoral degree,Research Scientist,10-20 years,"3,000-3,999",,R;SQL;C++;Java;
347,35-39,Man,Australia,Bachelor’s degree,Other,< 1 years,"150,000-199,999","DataCamp;Udacity;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)","Javascript;DataCamp;Udacity;Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
348,45-49,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Product/Project Manager,I have never written code,"100,000-124,999",,
349,40-44,Man,United States of America,Doctoral degree,Research Scientist,10-20 years,"80,000-89,999",,R;
353,35-39,Man,United States of America,Master’s degree,Other,20+ years,"125,000-149,999",edX;Kaggle Learn Courses;Udacity;Udemy;University Courses (resulting in a university degree),SQL;C;C++;Bash;MATLAB;edX;Kaggle Learn Courses;Udacity;Udemy;University Courses (resulting in a university degree)
356,40-44,Man,Taiwan,Master’s degree,DBA/Database Engineer,10-20 years,"50,000-59,999",Kaggle Learn Courses,SQL;Kaggle Learn Courses
357,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,"100,000-124,999",,
